,data,subsistema,id_empreendimento_aneel,id_reservatorio_planejamento,id_posto_vazao,reservatorio_equivalente,reservatorio,tipo_reservatorio,usina,bacia,rio,cota_maxima,cota_minima,volume_maximo,volume_minimo,volume_util,produtividade_especifica,produtividade_65_volume_util,tipo_perda,perda_carga,latitude,longitude,sistema,codigo,estado_sigla
42,2003-01-23,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001006-5.01,4,211,PARANA,FUNIL-MG,FIO DAGUA,FUNIL,GRANDE,GRANDE,808.0,807.8,304.0,304.0,6.81,0.00901,0.3549,m,0.39,-21.1425,-45.03472222,sin,19003,MG
43,1963-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001007-3.01,6,6,PARANA,FURNAS,RESERVATORIO COM USINA,FURNAS,GRANDE,GRANDE,768.0,750.0,22950.0,5733.0,17217.0,0.008996,0.813,m,0.8,-20.66944444,-46.31388889,sin,19004,MG
44,1956-04-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.002038-9.01,7,7,PARANA,M. MORAES,RESERVATORIO COM USINA,MARECHAL MASCARENHAS DE MORAES (ANTIGA PEIXOTO),GRANDE,GRANDE,666.12,653.12,4040.0,1540.0,2500.0,0.008657,0.3471,m,1.14,-20.285,-47.0625,sin,19005,MG
45,1969-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.000917-2.01,8,8,PARANA,L. C. BARRETO,FIO DAGUA,ESTREITO (LUIZ CARLOS BARRETO DE CARVALHO),GRANDE,GRANDE,622.5,618.5,1423.0,1423.0,178.2,0.00889,0.5437,m,0.9,-20.15361111,-47.27777778,sin,19006,SP
46,1969-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.000917-2.01,8,8,PARANA,L. C. BARRETO,FIO DAGUA,ESTREITO (LUIZ CARLOS BARRETO DE CARVALHO),GRANDE,GRANDE,622.5,618.5,1423.0,1423.0,178.2,0.00889,0.5437,m,0.9,-20.15361111,-47.27777778,sin,19006,MG
47,1971-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001225-4.01,9,9,PARANA,JAGUARA,FIO DAGUA,JAGUARA,GRANDE,GRANDE,558.5,555.5,450.0,450.0,90.0,0.008944,0.3944,m,0.5,-20.025,-47.43555556,sin,19007,SP
48,1971-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001225-4.01,9,9,PARANA,JAGUARA,FIO DAGUA,JAGUARA,GRANDE,GRANDE,558.5,555.5,450.0,450.0,90.0,0.008944,0.3944,m,0.5,-20.025,-47.43555556,sin,19007,MG
49,1985-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.003045-7.01,11,11,PARANA,VOLTA GRANDE,FIO DAGUA,VOLTA GRANDE,GRANDE,GRANDE,494.87,493.47,2244.0,2244.0,268.0,0.008996,0.2482,m,0.17,-20.03277778,-48.21722222,sin,19009,MG
50,1985-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.003045-7.01,11,11,PARANA,VOLTA GRANDE,FIO DAGUA,VOLTA GRANDE,GRANDE,GRANDE,494.87,493.47,2244.0,2244.0,268.0,0.008996,0.2482,m,0.17,-20.03277778,-48.21722222,sin,19009,SP
51,1973-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.002117-2.01,12,12,PARANA,P. COLOMBIA,FIO DAGUA,PORTO COLOMBIA,GRANDE,GRANDE,467.2,465.5,1524.0,1524.0,233.5,0.009071,0.2012,m,0.23,-20.12694444,-48.56583333,sin,19010,MG
52,1973-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.002117-2.01,12,12,PARANA,P. COLOMBIA,FIO DAGUA,PORTO COLOMBIA,GRANDE,GRANDE,467.2,465.5,1524.0,1524.0,233.5,0.009071,0.2012,m,0.23,-20.12694444,-48.56583333,sin,19010,SP
53,1952-04-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.000588-6.01,14,14,PARANA,CACONDE,RESERVATORIO COM USINA,CACONDE,GRANDE,PARDO,855.0,825.0,555.0,51.0,504.09,0.008558,0.8259,m,0.87,-21.57777778,-46.62333333,sin,19011,SP
54,1980-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.000923-7.01,15,15,PARANA,E. DA CUNHA,FIO DAGUA,EUCLIDES DA CUNHA,GRANDE,PARDO,665.0,659.5,14.0,14.0,4.69,0.008602,0.7502,m,0.73,-21.60277778,-46.94777778,sin,19012,SP
55,1980-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001328-5.01,16,16,PARANA,LIMOEIRO,FIO DAGUA,LIMOEIRO (ARMANDO SALLES DE OLIVEIRA),GRANDE,PARDO,573.0,563.0,25.0,25.0,16.36,0.008599,0.2209,m,0.19,-21.62472222,-47.01055556,sin,19013,SP
56,1975-04-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001417-6.01,17,17,PARANA,MARIMBONDO,RESERVATORIO COM USINA,MARIMBONDO,GRANDE,GRANDE,446.3,426.0,6150.0,890.0,5260.0,0.00907,0.5183,m,0.82,-20.30388889,-49.19277778,sin,19014,MG
57,1975-04-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001417-6.01,17,17,PARANA,MARIMBONDO,RESERVATORIO COM USINA,MARIMBONDO,GRANDE,GRANDE,446.3,426.0,6150.0,890.0,5260.0,0.00907,0.5183,m,0.82,-20.30388889,-49.19277778,sin,19014,SP
58,1978-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.000041-8.01,18,18,PARANA,A. VERMELHA,RESERVATORIO COM USINA,AGUA VERMELHA (ANTIGA JOSE ERMIRIO DE MORAES),GRANDE,GRANDE,383.3,373.3,11025.0,5856.0,5169.22,0.008825,0.4625,m,0.75,-19.86805556,-50.34277778,sin,19015,MG
59,1978-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.000041-8.01,18,18,PARANA,A. VERMELHA,RESERVATORIO COM USINA,AGUA VERMELHA (ANTIGA JOSE ERMIRIO DE MORAES),GRANDE,GRANDE,383.3,373.3,11025.0,5856.0,5169.22,0.008825,0.4625,m,0.75,-19.86805556,-50.34277778,sin,19015,SP
60,1994-12-07,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001574-1.01,25,25,PARANA,NOVA PONTE,RESERVATORIO COM USINA,NOVA PONTE,PARANAIBA,PARANAIBA,815.0,775.5,12792.0,2412.0,10380.0,0.008978,0.9669,m,1.68,-19.13111111,-47.69361111,sin,19018,MG
61,1998-05-29,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001469-9.01,26,206,PARANA,MIRANDA,RESERVATORIO COM USINA,MIRANDA,PARANAIBA,ARAGUARI-MG,696.0,693.0,1120.0,974.0,145.6,0.008834,0.6195,m,0.72,-18.91166667,-48.03916667,sin,19019,MG
62,2006-02-21,SUDESTE/CENTRO-OESTE,UHE.PH.MG.027483-6.01,27,207,PARANA,C.BRANCO-1,RESERVATORIO COM USINA,AMADOR AGUIAR I (ANTIGA CAPIM BRANCO I),PARANAIBA,ARAGUARI-MG,624.0,623.3,241.13,228.27,12.86,0.008995,0.5114,m,1.84,-18.78833333,-48.14611111,sin,19020,MG
63,2007-03-09,SUDESTE/CENTRO-OESTE,UHE.PH.MG.027484-4.01,28,28,PARANA,C.BRANCO-2,FIO DAGUA,AMADOR AGUIAR II (ANTIGA CAPIM BRANCO II),PARANAIBA,ARAGUARI-MG,565.0,564.7,879.0,878.0,13.2,0.009077,0.4169,m,0.52,-18.65888889,-48.43583333,sin,19021,MG
64,2006-04-01,SUDESTE/CENTRO-OESTE,UHE.PH.GO.027795-9.01,29,205,PARANA,CORUMBA-4,RESERVATORIO COM USINA,CORUMBA IV,PARANAIBA,CORUMBA,842.6,837.0,3708.0,2936.6,916.89,0.008746,0.5836,m,1.59,-16.32277778,-48.1875,sin,19022,GO
65,2006-09-07,SUDESTE/CENTRO-OESTE,UHE.PH.GO.000908-3.01,29,99,PARANA,ESPORA,RESERVATORIO COM USINA,ESPORA,PARANAIBA,CORRENTE,583.5,576.5,209.0,71.0,137.85,0.008731,0.4021,m,5.2,-18.67805556,-51.86888889,sin,19033,GO
66,1980-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001194-0.01,31,31,PARANA,ITUMBIARA,RESERVATORIO COM USINA,ITUMBIARA,PARANAIBA,PARANAIBA,520.0,495.0,17027.0,4573.0,12454.0,0.008958,0.7027,m,0.75,-18.40944444,-49.09694444,sin,19025,GO
67,1980-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.001194-0.01,31,31,PARANA,ITUMBIARA,RESERVATORIO COM USINA,ITUMBIARA,PARANAIBA,PARANAIBA,520.0,495.0,17027.0,4573.0,12454.0,0.008958,0.7027,m,0.75,-18.40944444,-49.09694444,sin,19025,MG
68,1959-01-31,SUDESTE/CENTRO-OESTE,UHE.PH.GO.000528-2.01,32,32,PARANA,C. DOURADA,FIO DAGUA,CACHOEIRA DOURADA,PARANAIBA,PARANAIBA,431.55,428.0,460.0,460.0,221.87,0.008568,0.2702,m,0.59,-18.50361111,-49.4925,sin,19026,GO
69,1959-01-31,SUDESTE/CENTRO-OESTE,UHE.PH.GO.000528-2.01,32,32,PARANA,C. DOURADA,FIO DAGUA,CACHOEIRA DOURADA,PARANAIBA,PARANAIBA,431.55,428.0,460.0,460.0,221.87,0.008568,0.2702,m,0.59,-18.50361111,-49.4925,sin,19026,MG
70,1973-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001120-7.01,34,34,PARANA,I. SOLTEIRA,RESERVATORIO COM USINA,ILHA SOLTEIRA,PARANA,PARANA,328.0,323.0,21060.0,15543.8,5515.5,0.00865,0.3869,m,0.54,-20.37972222,-51.35805556,sin,19034,SP
71,1973-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001120-7.01,34,34,PARANA,I. SOLTEIRA,RESERVATORIO COM USINA,ILHA SOLTEIRA,PARANA,PARANA,328.0,323.0,21060.0,15543.8,5515.5,0.00865,0.3869,m,0.54,-20.37972222,-51.35805556,sin,19034,MS
72,1963-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.000208-9.01,37,237,PARANA,B. BONITA,RESERVATORIO COM USINA,BARRA BONITA,TIETE,TIETE,451.5,439.5,3135.0,569.0,2566.86,0.008845,0.1776,m,0.41,-22.51944444,-48.53416667,sin,19040,SP
73,1967-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.000203-8.01,38,238,PARANA,BARIRI,FIO DAGUA,BARIRI (ALVARO DE SOUZA LIMA),TIETE,TIETE,427.5,426.5,544.0,544.0,59.93,0.008333,0.1848,m,0.43,-22.15388889,-48.75388889,sin,19041,SP
74,1969-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001097-9.01,39,239,PARANA,IBITINGA,FIO DAGUA,IBITINGA,TIETE,TIETE,404.0,403.5,985.0,985.0,55.77,0.008438,0.1737,m,0.41,-21.75775,-48.99183333,sin,19042,SP
75,1982-04-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001552-0.01,42,242,PARANA,N. AVANHANDAVA,FIO DAGUA,NOVA AVANHANDAVA (RUI BARBOSA),TIETE,TIETE,357.99,356.0,2720.0,2720.0,378.0,0.009087,0.2784,m,0.43,-21.11694444,-50.20175,sin,19044,SP
76,1969-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001282-3.01,45,245,PARANA,JUPIA,FIO DAGUA,JUPIA (ENG° SOUZA DIAS),PARANA,PARANA,280.0,277.0,3354.0,3354.0,903.75,0.008751,0.18,m,0.63,-20.77694444,-51.63305556,sin,19046,MS
77,1969-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001282-3.01,45,245,PARANA,JUPIA,FIO DAGUA,JUPIA (ENG° SOUZA DIAS),PARANA,PARANA,280.0,277.0,3354.0,3354.0,903.75,0.008751,0.18,m,0.63,-20.77694444,-51.63305556,sin,19046,SP
78,1999-01-23,SUDESTE/CENTRO-OESTE,UHE.PH.SP.002127-0.01,46,246,PARANA,PORTO PRIMAVERA,FIO DAGUA,PORTO PRIMAVERA (ENG° SERGIO MOTTA),PARANA,PARANA,259.0,257.0,20001.0,15707.0,4294.0,0.008928,0.1754,m,0.43,-22.47472222,-52.95222222,sin,19047,MS
79,1999-01-23,SUDESTE/CENTRO-OESTE,UHE.PH.SP.002127-0.01,46,246,PARANA,PORTO PRIMAVERA,FIO DAGUA,PORTO PRIMAVERA (ENG° SERGIO MOTTA),PARANA,PARANA,259.0,257.0,20001.0,15707.0,4294.0,0.008928,0.1754,m,0.43,-22.47472222,-52.95222222,sin,19047,SP
80,2013-06-14,SUDESTE/CENTRO-OESTE,UHE.PH.MS.028761-0.01,153,154,PARANA,SAO DOMINGOS,FIO DAGUA,SAO DOMINGOS,PARANA,VERDE,345.0,344.0,131.43,112.31,19.12,0.008947,0.3071,m,0.48,-20.08361111,-53.17472222,sin,19157,MS
81,2009-10-24,SUDESTE/CENTRO-OESTE,UHE.PH.GO.028352-5.01,203,23,PARANA,CORUMBA-3,RESERVATORIO COM USINA,CORUMBA III,PARANAIBA,CORUMBA,772.0,768.0,972.0,709.0,259.7,0.008795,0.3471,m,0.84,-16.78611111,-47.94194444,sin,19023,GO
82,2010-07-06,SUDESTE/CENTRO-OESTE,UHE.PH.GO.028760-1.01,241,241,PARANA,S.R.VERDINHO,FIO DAGUA,SALTO DO RIO VERDINHO,PARANAIBA,VERDE,370.5,369.5,394.34,352.48,41.86,0.008752,0.3742,m,0.58,-19.14555556,-50.76722222,sin,19032,GO
83,2010-05-25,SUDESTE/CENTRO-OESTE,UHE.PH.GO.028758-0.01,262,294,PARANA,SALTO,FIO DAGUA,SALTO,PARANAIBA,VERDE,446.5,445.5,826.06,767.66,58.4,0.008879,0.4502,m,0.68,-18.8075,-51.17111111,sin,19031,GO
84,2010-07-24,SUDESTE/CENTRO-OESTE,UHE.PH.GO.028756-3.01,311,247,PARANA,CACU,RESERVATORIO COM USINA,CACU,PARANAIBA,CLARO,477.0,475.0,227.45,195.76,31.69,0.008951,0.2442,m,0.21,-18.53222222,-51.14944444,sin,19028,GO
85,2010-06-19,SUDESTE/CENTRO-OESTE,UHE.PH.GO.028757-1.01,312,248,PARANA,B.COQUEIROS,FIO DAGUA,BARRA DOS COQUEIROS,PARANAIBA,CLARO,448.0,446.0,347.8,300.0,48.47,0.008934,0.3214,m,0.41,-18.72111111,-51.00444444,sin,19029,GO
86,2010-08-05,SUDESTE/CENTRO-OESTE,UHE.PH.GO.029455-1.01,315,261,PARANA,FOZ DO RIO CLARO,FIO DAGUA,ENGENHEIRO JOSE LUIZ MULLER DE GODOY PEREIRA,PARANAIBA,CLARO,354.0,352.0,99.13,83.81,15.32,0.008978,0.2395,m,0.07,-19.11916667,-50.64305556,sin,19030,GO
