,data,id_reservatorio,nome_reservatorio,afluencia,bacia,rio,estado_sigla
75,2000-05-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
76,2000-05-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
77,2000-05-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
78,2000-06-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
79,2000-06-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
80,2000-06-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
81,2000-06-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
82,2000-06-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
83,2000-06-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
84,2000-06-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
85,2000-06-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
86,2000-06-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
87,2000-06-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
88,2000-06-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
89,2000-06-22,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
90,2000-06-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
91,2000-06-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
92,2000-06-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
93,2000-07-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
94,2000-07-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
95,2000-07-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
96,2000-07-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
97,2000-07-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
98,2000-07-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
99,2000-07-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
100,2000-07-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
101,2000-07-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
102,2000-07-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
103,2000-07-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
104,2000-07-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
105,2000-07-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
106,2000-07-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
107,2000-07-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
108,2000-08-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
109,2000-08-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
110,2000-08-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
111,2000-08-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
112,2000-08-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
113,2000-08-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
114,2000-08-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
115,2000-08-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
116,2000-08-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
117,2000-08-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
118,2000-08-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
119,2000-08-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
120,2000-08-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
121,2000-08-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
122,2000-08-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
123,2000-09-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
124,2000-09-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
125,2000-09-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
126,2000-09-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
127,2000-09-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
128,2000-09-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
129,2000-09-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
130,2000-09-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
131,2000-09-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
132,2000-09-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
133,2000-09-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
134,2000-09-22,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
135,2000-09-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
136,2000-09-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
137,2000-09-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
138,2000-10-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
139,2000-10-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
140,2000-10-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
141,2000-10-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
142,2000-10-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
143,2000-10-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
144,2000-10-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
